	SAMN02689047	SAMN02689051	SAMN02689052	SAMN02689053	SAMN02689055	SAMN02689056	SAMN02689135	SAMN02689136	SAMN02689137	SAMN02689138	SAMN02689139	SAMN02689142	SAMN02689146	SAMN02689147	SAMN02689148	SAMN02689157	SAMN02689158	SAMN02689161	SAMN02689162	SAMN02689163	SAMN02689191	SAMN02689265	SAMN02689319	SAMN02689416	SAMN02689489
ENSG00000000003	1085.866800312	992.91715999469	567.204926554204	535.002797921784	493.146641585955	1913.01940832402	2005.31754258226	2254.88240941553	483.761932132725	477.30138838682	955.873860757108	518.244327023051	2329.94279580002	2141.39312286219	2213.22833055104	2022.49824697625	1833.50378618551	2100.90246115031	2211.22627356882	2569.62640484237	2546.22404112679	2249.4263755151	2391.44351250461	2808.35166791801	1785.38487383677
ENSG00000000005	0	0	0	0	0.919585431452771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.986052152349207
ENSG00000000419	1218.81700929224	1577.22870817882	1187.26172460178	997.475987519312	937.920164333898	2679.3548487028	3210.03044305574	2408.95316984112	862.468949911832	800.669100340769	1442.45519180391	814.664899807377	3069.44758830702	3826.64666813726	2736.22648864751	3685.75127075377	3584.56965368542	4162.55910034216	3841.2072549657	4667.59180985049	4264.0890467206	3866.12536535862	3487.31669756328	4988.08657068856	3670.06145103137
ENSG00000000457	826.87135729355	871.794952440745	1153.16926987668	996.874339194623	890.729737837214	719.777778713017	872.217198648169	892.206721567685	905.327910102456	881.81586927948	823.05259355768	1043.25517287955	863.937993668319	764.296598700616	761.856522339762	834.360922495145	749.057790396062	815.860268209093	907.318029794399	892.496422893272	1061.85441854165	1053.94482997304	1030.2121956353	1130.01407478545	691.907207135144
ENSG00000000460	491.527556988861	674.847488924176	520.681888004223	390.109588635837	403.973153763284	756.212878793782	817.558670125526	847.296718319242	341.06422567561	261.051005636693	545.404919791671	306.909120253455	875.722078724848	468.655785648796	693.422056270951	895.057570474479	786.124799084937	791.197866064666	533.620164709329	625.633950865196	991.899444972143	1008.86676682716	882.432850542787	665.428433754394	502.318436706503
ENSG00000000938	0	0	2.95855559026878	12.1879354218651	3.1104876694229	0	0	0	0.764250000074329	0	1.60402393267107	1.82894896179102	0	1.67548220229132	1.6728579406183	0	0.588182277996565	0.824958620329677	0.803244190084656	6.93358583368379	5.65858695525074	4.99990708103885	0	0.804012006325326	0
ENSG00000000971	537.409088407711	835.070987021967	479.349753745259	499.444411268168	457.24919025573	1583.21733481977	1906.41906462782	1105.75273488245	469.841582571338	290.757945844134	824.006193079296	435.345388427855	2026.07278434594	1964.51728417407	1586.84528848429	2089.70541264146	2424.2768271561	2366.19994222488	2690.62567328438	2921.39923487693	3212.26792456887	3142.60264530626	3185.0184926184	4298.29282843729	2573.27299523257
ENSG00000001036	6701.43941460751	6369.46460213164	3748.52176996274	3043.94438728997	2913.9535842227	7956.11152972781	9025.91289558917	11193.091007266	2927.20386823682	2978.44064923704	6108.85282148011	4119.76790647172	9390.43792391003	8578.969912562	9203.36529962839	9264.4495428252	8181.49043851138	11157.3923922374	9309.71516413081	10883.9329891152	11682.9839406436	10904.9495927693	10205.7860427457	9903.7549760158	7219.31420040452
ENSG00000001084	950.815914041116	1383.07355111654	1215.14898535673	784.563588904364	882.886908345747	2822.31911809128	3143.04056024795	2191.65497099351	850.218570720634	622.953832574427	1232.78825106535	897.42644377081	3932.99855604174	2827.28316432898	2987.70464221477	3102.31132350715	2907.18580671358	2683.90834309646	3809.25154499249	2638.47186640394	4178.78025383731	4045.71446418094	4398.32598619615	4777.16147032124	3155.65638215259
