study_id	feature_id	logFC	AveExpr	t	P.Value	adj.P.Val	B
GSE122876	P-hsa04662-6	-4.44089209850063e-16	1	-3.75191156063589	0.0189985913423981	0.509028717167328	-40.8868885644025
GSE122876	P-hsa04668-36	-1.11022302462516e-16	0.944124782529471	-2.48165417194902	0.0664821894575615	0.509028717167328	-42.3465889212056
GSE122876	P-hsa04668-128	-1.11022302462516e-16	0.429240364640607	-2.48165417194902	0.0664821894575615	0.509028717167328	-42.3465889212056
GSE122876	P-hsa04662-27	-2.22044604925031e-16	0.908337736758242	-1.87595578031794	0.132063761621107	0.509028717167328	-43.1054317038796
GSE122876	P-hsa04630-33	-1.11022302462516e-16	0.513062477515041	-1.87595500145035	0.132063882090632	0.509028717167328	-43.1054326822608
GSE122876	P-hsa04668-120	-6.93889390390723e-18	0.0356573301623219	-1.87569024269277	0.132104839863283	0.509028717167328	-43.1057652594237
GSE122876	P-hsa04621-33 35	-6.93889390390723e-18	0.0356573301623219	-1.87569024269277	0.132104839863283	0.509028717167328	-43.1057652594237
GSE122876	P-hsa04621-34 35	-6.93889390390723e-18	0.0356573301623219	-1.87569024269277	0.132104839863283	0.509028717167328	-43.1057652594237
GSE122876	P-hsa04621-23	-6.93889390390723e-18	0.0356573301623219	-1.87569024269277	0.132104839863283	0.509028717167328	-43.1057652594237
GSE122876	P-hsa04621-29	-6.93889390390723e-18	0.0356573301623219	-1.87569024269277	0.132104839863283	0.509028717167328	-43.1057652594237
GSE122876	P-hsa04621-21 31 41	-6.93889390390723e-18	0.0356573301623219	-1.87569024269277	0.132104839863283	0.509028717167328	-43.1057652594237
GSE122876	P-hsa04668-153	2.22044604925031e-16	0.561899919823221	1.43278497657037	0.223440665528345	0.509028717167328	-43.6506590950438
GSE122876	P-hsa04668-138	2.22044604925031e-16	0.561899919823221	1.43278497657037	0.223440665528345	0.509028717167328	-43.6506590950438
GSE122876	P-hsa04662-32 51	2.22044604925031e-16	0.561899919823221	1.43278497657037	0.223440665528345	0.509028717167328	-43.6506590950438
GSE122876	P-hsa04668-102	-5.55111512312578e-17	0.287426525042131	-1.43278324153478	0.223441128454196	0.509028717167328	-43.6506611559832
GSE122876	P-hsa04668-141	-5.55111512312578e-17	0.287426525042131	-1.43278324153478	0.223441128454196	0.509028717167328	-43.6506611559832
GSE122876	P-hsa04630-7	-5.55111512312578e-17	0.43885274896333	-1.24082708597451	0.280851223566902	0.509028717167328	-43.8727893121252
GSE122876	P-hsa04630-31	-5.55111512312578e-17	0.43885274896333	-1.24082708597451	0.280851223566902	0.509028717167328	-43.8727893121252
GSE122876	P-hsa04630-1	-5.55111512312578e-17	0.43885274896333	-1.24082708597451	0.280851223566902	0.509028717167328	-43.8727893121252
GSE122876	P-hsa04630-30	-5.55111512312578e-17	0.43885274896333	-1.24082708597451	0.280851223566902	0.509028717167328	-43.8727893121252
GSE122876	P-hsa04630-34	-5.55111512312578e-17	0.43885274896333	-1.24082708597451	0.280851223566902	0.509028717167328	-43.8727893121252
GSE122876	P-hsa04630-24	-5.55111512312578e-17	0.43885274896333	-1.24082708597451	0.280851223566902	0.509028717167328	-43.8727893121252
GSE122876	P-hsa04630-27	-5.55111512312578e-17	0.43885274896333	-1.24082708597451	0.280851223566902	0.509028717167328	-43.8727893121252
GSE122876	P-hsa04630-28	-5.55111512312578e-17	0.43885274896333	-1.24082708597451	0.280851223566902	0.509028717167328	-43.8727893121252
GSE122876	P-hsa04668-40	-2.77555756156289e-17	0.181184698954176	-1.24082347978954	0.280852425060342	0.509028717167328	-43.872793359036
GSE122876	P-hsa04668-20	2.22044604925031e-16	0.656737308056135	1.14622801456904	0.314081220409566	0.509028717167328	-43.9770013996354
GSE122876	P-hsa04662-16	5.55111512312578e-17	0.169816517249677	1.14622712623016	0.314081548890479	0.509028717167328	-43.9770023589097
GSE122876	P-hsa04621-6	5.55111512312578e-17	0.169816517249677	1.14622712623016	0.314081548890479	0.509028717167328	-43.9770023589097
GSE122876	P-hsa04621-21 30	5.55111512312578e-17	0.169816517249677	1.14622712623016	0.314081548890479	0.509028717167328	-43.9770023589097
GSE122876	P-hsa04662-10	1.66533453693773e-16	0.488902377843405	1.07458873242778	0.341610822952835	0.535190289292775	-44.0530657428051
GSE122876	P-hsa04662-24	-2.77555756156289e-17	0.197329630011919	-0.891435574853383	0.42185924750542	0.639593052669508	-44.2340799403337
GSE122876	P-hsa04662-29	2.77555756156289e-17	0.196311451586412	0.756897068463835	0.490226987309138	0.720020887610296	-44.3523040822151
GSE122876	P-hsa04630-35	1.11022302462516e-16	0.571265251323942	0.688287643567922	0.528191781166599	0.752273142873641	-44.4069880355758
GSE122876	P-hsa04668-47	5.55111512312578e-17	0.480213686756966	0.445718623159056	0.678297747229672	0.845958458885883	-44.565129343309
GSE122876	P-hsa04668-48	5.55111512312578e-17	0.480213686756966	0.445718623159056	0.678297747229672	0.845958458885883	-44.565129343309
GSE122876	P-hsa04621-43	1.47454254520174e-05	0.197759788155156	0.358494866028499	0.737649202213203	0.845958458885883	-44.6070747681901
GSE122876	P-hsa04630-36	0.0169261289756179	0.0701848932232282	0.358494866023295	0.737649202216816	0.845958458885883	-44.6070747681924
GSE122876	P-hsa04621-28	8.94760708666786e-06	0.105790913289436	0.358494866019254	0.737649202219622	0.845958458885883	-44.6070747681941
GSE122876	P-hsa04621-4 7 8	3.44925365762527e-07	0.0344092633252974	0.358494866008018	0.737649202227424	0.845958458885883	-44.607074768199
