id	effect	pval
1000_at	-4.945863914588776	7.595731636898784e-5
1003_s_at	-2.61999077875961	0.0495142121568477
1009_at	3.9231743970925215	0.002259121580659364
1011_s_at	3.6969747310650134	0.004205455933510878
1019_g_at	-2.8932530301835593	0.029404913377091054
103_at	4.133054194724943	0.0012170719912062726
1032_at	-2.695615534544103	0.04266552128564911
1034_at	-2.7564492810075696	0.03807403818364759
1038_s_at	2.8294366077990825	0.033394365470898135
1051_g_at	-3.030545312823537	0.021842104900070602
1052_s_at	3.6567856312172045	0.0046441248486752944
1060_g_at	-4.327094492810134	6.532536248728184e-4
1063_s_at	-2.8986816975049208	0.029068711582836228
1075_f_at	-3.2354000706211554	0.013735914883564349
1076_at	-3.0403460370349134	0.02149401481446526
1079_g_at	-2.8284919354891924	0.03341191886411883
1081_at	4.956181142340894	7.319669053870804e-5
1085_s_at	-2.8647749627454675	0.031211399731628016
1090_f_at	-2.9753610206642027	0.02472978241336349
1098_at	-2.8245153167192645	0.03362324722296415
1100_at	3.7250705738766827	0.003912960169823243
1101_at	-3.978692394984027	0.001922754884091916
1102_s_at	-2.653798199214741	0.04649891509163866
1114_at	-2.814441835003701	0.03419528778277605
1120_at	-5.236729770713361	2.318556118788253e-5
1121_g_at	-4.7392923729100955	1.5651049346480936e-4
113_i_at	-3.0678640947139413	0.020132266137347716
1130_at	3.5281731891879224	0.006578808689484886
1135_at	-5.227978779894645	2.403984797061387e-5
1148_s_at	-2.954013418169529	0.02580077845028449
1151_at	2.8162335637576583	0.0340868950677449
1154_at	2.6228659973201918	0.04925363261061605
1160_at	3.780187791939711	0.003393593840183003
1161_at	2.917729687416365	0.027978925275771237
1173_g_at	3.8641500775950193	0.002655458411960951
1176_at	-2.65133014397148	0.04671041942663832
1177_at	-2.6675456762586918	0.04512455109264164
1179_at	3.8247362046383846	0.002977957309767847
1180_g_at	4.232950309735332	8.692236344074522e-4
1184_at	3.0934809537271084	0.01883498143945815
1191_s_at	2.8910415596459345	0.0295584613948044
1193_at	-2.915053006192575	0.028184590191048672
1199_at	4.132643660531369	0.0012170719912062726
120_at	-3.9130389013948155	0.002305943476584753
1229_at	-3.3806803863789066	0.00961448863346525
1230_g_at	-5.40925294981542	1.1750196714722856e-5
1243_at	-3.4611342770203173	0.007823782891426252
1246_at	-3.194785241103642	0.015014977715249473
