GSM432030	GSM432031	GSM432032	GSM432033	GSM432034	GSM432209	GSM432210	GSM432211	GSM432212	GSM432213	GSM432241	GSM432331	GSM432332	GSM432333	GSM432360	GSM432361	GSM432393	GSM432394
6373	6.60915437357153	6.66223561742388	6.64617771679698	6.43136716309297	6.22572402203011	6.41517555434311	6.50924513977231	6.39654493836486	6.41429780194837	6.42188531882861	6.44161009744564	6.5490963718293	6.56953603805058	6.63940703199985	6.35033819613125	6.57747102710558	6.51456398198777	6.94264892513237
1958	6.60131496079184	6.42367361823892	6.72872862117559	6.54364224846079	6.67020542100365	6.64235876878845	6.54390312078275	6.60444458969528	6.52284753166494	6.52353999326789	6.48107464409555	6.56030459457116	6.73249320395044	6.78662052849834	6.85132703290188	6.46010834697507	6.75640879546807	6.65761954875696
10346	8.33669002699032	8.47854006425534	8.43268874061347	8.48232409592762	8.48124395640717	8.65933139268751	8.68342744023891	8.70654609272359	8.82612680710799	8.65211606981782	8.4255405295234	8.52993780692083	8.47484185309422	8.6402353392508	8.58351558965433	8.2665769661287	8.80150979644669	8.60134522828624
5806	6.79554467515832	6.56630998007596	6.52622468899663	6.53270404449295	6.53109730914642	6.23935218698955	6.42738127209842	6.33172447533788	6.26373447709675	6.34549642995812	6.53535130253538	6.74917767977277	6.50744095845628	6.60457922666953	6.74707440531868	6.8401106937556	6.55000198978492	6.55223911429452
10202	8.62900626981994	8.59281589854903	8.53229811224809	8.73025501255844	8.46758806081248	8.63319618416966	8.58894571807376	8.28826625717786	8.41657736012379	8.73304404327148	8.86554566794142	8.62324847535096	8.46157810857768	8.50120198668311	8.61629176664959	8.55979026901728	8.83724542565391	8.77866056684942
1961	8.90993142021236	8.76878675764716	8.91404248892972	8.82992534337556	8.93753390361406	8.87526174667481	8.98700958178984	8.74032221697646	9.08432509520437	8.98966754997151	8.6532976251962	8.64023238910911	8.79692964322115	8.83672938328164	8.7125607759409	8.75925944061538	8.71368797643897	8.3466246985213
91543	8.51409464844943	8.58505008513668	8.58001268844496	8.49806023788047	8.61317176206899	8.80241410648554	8.58292610247896	8.60050415520347	8.7611431762801	8.66424919583357	8.59632388545986	8.535573308559	8.54144400113692	8.68822947209132	8.62084202732313	8.5309052601201	8.66005582174281	8.54180491853501
3456	6.68569068617402	6.68939397857483	6.33418301045005	6.59195098546216	6.2968025625937	6.14150640594296	6.52958369227019	6.49005076516998	6.44819705122767	6.48245770728331	6.48553487946349	6.54221346367824	6.47429738601912	6.46591503446862	6.09983844777115	6.24659173467008	6.39281106304947	6.58544137388146
8519	5.27124735217938	5.27878608055247	5.33147552853082	5.16799227436122	5.5356170072811	5.02907200495821	5.2202241570297	5.27986177436916	5.0446852479368	5.23174088498486	5.25642632890651	5.48888908344985	5.30347149837432	5.36091299630739	5.32750429252558	5.51411224492695	5.15389741166678	5.51536850085243
